 Team Number,How do you feel about your team,Feedback on team's performance,What is the good thing about your team,What is the bad thing about your team,What improvements does your team needs to do for better performance,"What would you have done differently, if you are the team leader"
42,Very Satisfied,great,team work,none,none,Nothing
46,Very Satisfied,THEY ARE VERY HELPFUL ,RESPONSE TIMING ,NA,IT'S ALL GOOD,
42,Neither satisfied nor dissatisfied,,Few are taking initiative,Few are very shy,100% participation,NA
25,Very Satisfied,Excellent,Understanding,Nothing,Extra efforts,None
48,Somewhat satisfied,Good,Cooperative,Nothing,Hardwork,Better work
9,Somewhat satisfied,good,good coordination ,NA,NA,-
Team-14,Very Satisfied,Very well coordinated,Helping out each other,May be nothing as of now,continue with this,coordination
2,Very Satisfied,5 out of 5,Teamwork,Nothing,Nothing,No
9,Very Satisfied,Good,Discussion,None,Team is good ,Organise the team and assign the task individually
12,Very Satisfied,excellent,very co-operative ,nothing,,
33,Very Satisfied,good ,interactive,NA,NA,NA
26,Very Satisfied,very nice,co operative,nothing,more ideas for including features ,a perfect plan execution
24,Very Satisfied,good,interactive,no,,
45,Very Satisfied,we are doing well as a team,unity,not at all,good time management,distribute equal portion to each and everyone
1,Very Satisfied,9/10,We used to ask all the team members opinions to decide a basic step,nothing,"Everyone need to wok on a same schedule, so that time can be saved",Motivates the members to work on team
39,Very Satisfied,we  all are grouped together and the performence of the team is good,proper communication ,no,,
50,Very Satisfied,Overall good,Supporting each other ,Nothing,,
28,Somewhat satisfied,Good,Every one is helpfull,I haven't found any bad things,every one must work hard for up coming projects,I ll give oppurtunity for every one to perform better
10,Very Satisfied,GOOD,Hard Working,NONE,Coding skills,Time managment for any work should be proper
39,Very Satisfied,Great work,Team Co-ordination,Nothing,Has to conduct more meeting to get connected,I will make a friend zone to make the work comfort.
23,Very Satisfied,all good,collaborative nature,nil,nil,nil
41,Very Satisfied,Excellent,Coordination between taking decisions,taken lot of time to  decide,to have more short duration calls,Arrange few more meetings of short duration
41,Very Satisfied,very good,contribution of everyone,NA,NA,give equal opportunities
36,Very Satisfied,It’s good ,Working together ,Nothing ,Nothing ,Solve coding problem 
16,Very Satisfied,We coordinated very well,unity,NA,NA,I'll Take more responsibility and risk. 
50,Very Satisfied,Its a new team we are getting into that on step step its good to have people like that.,Well coordinated ,,Proper conversation ,I would have assign tasks but we now we all are contributing to every thing
20,Very Satisfied,very good,interacting each and everyone and completing the tasks,nothing,nothing,
12,Very Satisfied,Performing well,Everyone is cooperative and doing work on time ,.,Strong coding skill,.
36,Somewhat satisfied,Good,Helping each other,,Scheduling the things ,Preparing the project plan and allocating work to teammates
30,Somewhat satisfied,Excellent,Communication,Time management,Feel free to talk,I will arrange meetings for clarification
1,Somewhat satisfied,They are doing good but a few members are not showing the same level of interest.,They have delegated the work evenly and are doing it good.,A few members are not showing interest.,Everyone's full involvement would be better.,I would ask everyone to contribute to the team.
4,Very Satisfied,Nice,Very interactive,Nothing,Nothing,team collaboration and implement new ideas of project
4,Very Satisfied,Everyone is active and very focused on getting the project done,Live Interaction,Some wont respond in the interaction,More members could comment on the project on how to improve it,I would have asked everyone to give updates daily after their task is finished
26,,Excellent ,Helping each other,Nothing,Nothing ,Nothing 
1,Very Satisfied,Good team management,team work, none,Quicker response,Make new implementation in project
23,Very Satisfied,Excellent,Everyone Work as a team,Nothing,Nothing,Divided the project
23,Very Satisfied,i got fantastic team and all the team members  doing fantastic job.,hard work and team playes,not punctual on time,need to research on thing more and more,i will divide  each work section equally to each team member.
33,Very Satisfied,Everyone is doing great!,The kind of team management i have seen in them i liked the most.,They are all good.,I don't think there is any need of improvement,I'll assign the task accordingly that suits them better and tell them to always help and support each other.
29,Very Satisfied,Everyone is very good. ,Everybody is very working hard people. All of they help each others.,There is no bad thing about my team.,I think no improvements need to do for better performance. Everything is going well.,"In the team everyone came forward, so I think nothing I have done differently if I am the team leader."
10,Very Satisfied,working on team helps to get more ideas regarding miniproject,team coordination,nothing,The team is performing well it is fine to continue by the same ,I would have communicated a lot with my team members in order to get other team members opinion.My team leader also good in communication
28,Very Satisfied,good,good cordination,no,..,.
Team-26,Very Satisfied,Good performance,Coordination,no,Conducting meetings daily,I will conduct meetings
44,Very Satisfied,Very good,Friendly and listening everyone points,NA,Have to be a quick start,I would be divide the need of our project to everyone by their choice.
13,Somewhat satisfied,Its good,team work ,nil,nil,
26,Somewhat satisfied,Satisfied,Co-ordination,communication issue,nil,nil
42,Very Satisfied,"Being a team player, it is very good to have such a nice team with me. Since I'm lagging in technical side, my team helped me to overcome the issue.",My team is very helpful to me. They never left anyone to rest from the project side. All members were given equal importance with equal works.,Nil,Time management,I'll try to manage the project time management.
Team 10,Somewhat satisfied,Good,Equal participation,Nil,Nil,
10,Very Satisfied,Good,All are supportive ,Nothing,No,Turn potential weakness into lerning opportunities
49,Somewhat satisfied,better peformance,sharing the work,decision taking time is very long,working together ,encourage every one for team spirit
23,Very Satisfied,It's nice to work as a team and we learn a lot in this project.,exchanging information and learn a lot,nothing its perfectly fine ,more information to exchange,i will guide how to do tasks if there is any problem with team member i will guide you 
43,Very Satisfied,Everybody in my team is very enthusiastic Persons and we understood very easily each other ,Team Collaboration,Somebody in our team is not collaborating with each other.,They want to be more collaborative with each other,"I only taken lead for the implementation , Design and Pictorial representation Parts and guided my teammates to work  so ."
2,Very Satisfied,Excellent,Coordination ,Nothing,Nothing,
48,Very Satisfied,good interaction,unity,laziness,Nothing,I will share the work equally to all
